,SNo,date,dayResult,dayConfidence,latitude,longitude,dateUnixTimestamp
93739,54,2022-07-20,1,0.7359351,46.70990477475751,-122.30846161493194,1658275200000
93740,55,2022-07-20,1,0.7359351,46.70990477475751,-122.29577211698812,1658275200000
93741,56,2022-07-20,1,0.7359351,46.70990477475751,-122.28308261904432,1658275200000
93742,57,2022-07-20,1,0.7359351,46.70990477475751,-122.2703931211005,1658275200000
93743,58,2022-07-20,1,0.7359351,46.70990477475751,-122.25770362315669,1658275200000
93744,59,2022-07-20,1,0.7359351,46.70990477475751,-122.24501412521286,1658275200000
93745,60,2022-07-20,1,0.7359351,46.70990477475751,-122.23232462726904,1658275200000
93746,61,2022-07-20,1,0.7359351,46.70990477475751,-122.21963512932524,1658275200000
93747,62,2022-07-20,1,0.7359351,46.70990477475751,-122.2069456313814,1658275200000
94290,63,2022-07-20,1,0.7359351,46.697215276813694,-122.3465301087634,1658275200000
94291,64,2022-07-20,1,0.7359351,46.697215276813694,-122.33384061081958,1658275200000
94292,65,2022-07-20,1,0.7359351,46.697215276813694,-122.32115111287575,1658275200000
94293,66,2022-07-20,1,0.7359351,46.697215276813694,-122.30846161493194,1658275200000
94294,67,2022-07-20,1,0.7359351,46.697215276813694,-122.29577211698812,1658275200000
94295,68,2022-07-20,1,0.7359351,46.697215276813694,-122.28308261904432,1658275200000
94296,69,2022-07-20,1,0.7359351,46.697215276813694,-122.2703931211005,1658275200000
94297,70,2022-07-20,1,0.7359351,46.697215276813694,-122.25770362315669,1658275200000
94298,71,2022-07-20,1,0.7359351,46.697215276813694,-122.24501412521286,1658275200000
94299,72,2022-07-20,1,0.7359351,46.697215276813694,-122.23232462726904,1658275200000
94300,73,2022-07-20,1,0.7359351,46.697215276813694,-122.21963512932524,1658275200000
94301,74,2022-07-20,1,0.7359351,46.697215276813694,-122.2069456313814,1658275200000
94302,75,2022-07-20,1,0.7359351,46.697215276813694,-122.1942561334376,1658275200000
94844,76,2022-07-20,1,0.7359351,46.68452577886988,-122.3465301087634,1658275200000
94845,77,2022-07-20,1,0.7359351,46.68452577886988,-122.33384061081958,1658275200000
94846,78,2022-07-20,1,0.7359351,46.68452577886988,-122.32115111287575,1658275200000
94847,79,2022-07-20,1,0.7359351,46.68452577886988,-122.30846161493194,1658275200000
94848,80,2022-07-20,1,0.7359351,46.68452577886988,-122.29577211698812,1658275200000
94849,81,2022-07-20,1,0.7359351,46.68452577886988,-122.28308261904432,1658275200000
94850,82,2022-07-20,1,0.7359351,46.68452577886988,-122.2703931211005,1658275200000
94851,83,2022-07-20,1,0.7359351,46.68452577886988,-122.25770362315669,1658275200000
94852,84,2022-07-20,1,0.7359351,46.68452577886988,-122.24501412521286,1658275200000
94853,85,2022-07-20,1,0.7359351,46.68452577886988,-122.23232462726904,1658275200000
94854,86,2022-07-20,1,0.7359351,46.68452577886988,-122.21963512932524,1658275200000
94855,87,2022-07-20,1,0.7359351,46.68452577886988,-122.2069456313814,1658275200000
94856,88,2022-07-20,1,0.7359351,46.68452577886988,-122.1942561334376,1658275200000
94857,89,2022-07-20,1,0.7359351,46.68452577886988,-122.18156663549377,1658275200000
